Match,Line,FT Score,Settlement Payout,Total Volume ($),Final Inventory,Inv Utilization,Total Trades,Net PnL ($)
伯恩茅斯 vs 埃弗顿,0.75,1-0,1.0,43392.76,-685.82,1.4%,21,-1006.27
阿斯顿维拉 vs 莱斯特城,1.5,2-1,1.0,43392.76,-685.82,1.4%,21,476.2
布莱顿 vs 阿森纳,-0.75,1-1,0.0,29330.3,4689.8,9.4%,14,-1415.88
水晶宫 vs 切尔西,-0.5,1-1,0.0,45173.64,-2466.7,4.9%,22,2990.72
富勒姆 vs 伊普斯维奇,1.0,2-2,1.0,53329.5,-10622.56,21.2%,27,-5537.98
利物浦 vs 曼彻斯特联,1.5,2-2,1.0,53329.5,-10622.56,21.2%,27,-4701.97
曼彻斯特城 vs 西汉姆联,1.75,4-1,1.0,33715.69,3215.03,6.4%,17,1970.47
南安普敦 vs 布伦特福德,-0.25,0-5,0.0,29330.3,4689.8,9.4%,14,-1697.2
托特纳姆热刺 vs 纽卡斯尔联,-0.5,1-2,0.0,30785.61,6145.11,12.3%,15,-2424.92
狼队 vs 诺丁汉森林,-0.25,0-3,0.0,45173.64,-2466.7,4.9%,22,4627.19
阿森纳 vs 托特纳姆热刺,1.5,2-1,1.0,31945.82,4984.9,10.0%,16,3276.04
布伦特福德 vs 曼彻斯特城,-1.0,2-2,0.0,33715.69,3215.03,6.4%,17,-2026.2
埃弗顿 vs 阿斯顿维拉,-0.25,0-1,0.0,29330.3,4689.8,9.4%,14,-1342.66
伊普斯维奇 vs 布莱顿,-0.5,0-2,0.0,31945.82,4984.9,10.0%,16,-618.06
莱斯特城 vs 水晶宫,-0.5,0-2,0.0,29330.3,4689.8,9.4%,14,-401.42
诺丁汉森林 vs 利物浦,-0.75,1-1,0.0,22621.25,6848.21,13.7%,11,-1804.38
西汉姆联 vs 富勒姆,-0.25,3-2,1.0,12989.83,3719.37,7.4%,6,1877.83
切尔西 vs 伯恩茅斯,1.0,2-2,1.0,22621.25,6848.21,13.7%,11,3991.19
纽卡斯尔联 vs 狼队,1.5,3-0,1.0,22621.25,6848.21,13.7%,11,3822.48
曼彻斯特联 vs 南安普敦,1.5,3-1,1.0,29330.3,4689.8,9.4%,14,2191.55
阿森纳 vs 阿斯顿维拉,1.0,2-2,1.0,31945.82,4984.9,10.0%,16,2588.34
布伦特福德 vs 利物浦,-1.25,0-2,0.0,38180.92,4526.02,9.1%,19,-253.94
切尔西 vs 狼队,1.5,3-1,1.0,31945.82,4984.9,10.0%,16,2384.53
埃弗顿 vs 托特纳姆热刺,0.0,3-2,1.0,38180.92,4526.02,9.1%,19,3130.91
伊普斯维奇 vs 曼彻斯特城,-1.25,0-6,0.0,26955.81,7064.28,14.1%,13,-2851.97
莱斯特城 vs 富勒姆,-0.5,0-2,0.0,10586.82,1316.36,2.6%,5,-1083.19
曼彻斯特联 vs 布莱顿,0.25,1-3,0.0,38180.92,4526.02,9.1%,19,-2061.51
