Match,Line,FT Score,Settlement Payout,Total Volume ($),Final Inventory,Peak Inventory,Inv Utilization,Total Trades,Hedge Count,Hedge Cost ($),Net PnL ($)
伯恩茅斯 vs 埃弗顿,0.75,1-0,1.0,48766.29,-6059.35,6848.21,13.7%,21,1,26.87,-2566.07
阿斯顿维拉 vs 莱斯特城,1.5,2-1,1.0,48766.29,-6059.35,6848.21,13.7%,21,1,26.87,-2440.13
布莱顿 vs 阿森纳,-0.75,1-1,0.0,34703.82,-683.73,6848.21,13.7%,14,1,26.87,1213.17
水晶宫 vs 切尔西,-0.5,1-1,0.0,54637.4,-3750.0,6848.21,13.7%,22,2,47.32,2952.37
富勒姆 vs 伊普斯维奇,1.0,2-2,1.0,67823.77,-6875.34,6875.34,13.8%,27,3,72.47,-3225.05
利物浦 vs 曼彻斯特联,1.5,2-2,1.0,67823.77,-6875.34,6875.34,13.8%,27,3,72.47,-2772.93
曼彻斯特城 vs 西汉姆联,1.75,4-1,1.0,39089.22,-2158.5,6848.21,13.7%,17,1,26.87,-946.08
南安普敦 vs 布伦特福德,-0.25,0-5,0.0,34703.82,-683.73,6848.21,13.7%,14,1,26.87,940.15
托特纳姆热刺 vs 纽卡斯尔联,-0.5,1-2,0.0,36159.14,771.58,6848.21,13.7%,15,1,26.87,155.62
狼队 vs 诺丁汉森林,-0.25,0-3,0.0,54637.4,-3750.0,6848.21,13.7%,22,2,47.32,3474.87
阿森纳 vs 托特纳姆热刺,1.5,2-1,1.0,37319.34,-388.63,6848.21,13.7%,16,1,26.87,-85.29
布伦特福德 vs 曼彻斯特城,-1.0,2-2,0.0,39089.22,-2158.5,6848.21,13.7%,17,1,26.87,1857.71
埃弗顿 vs 阿斯顿维拉,-0.25,0-1,0.0,34703.82,-683.73,6848.21,13.7%,14,1,26.87,952.53
伊普斯维奇 vs 布莱顿,-0.5,0-2,0.0,37319.34,-388.63,6848.21,13.7%,16,1,26.87,1232.39
莱斯特城 vs 水晶宫,-0.5,0-2,0.0,34703.82,-683.73,6848.21,13.7%,14,1,26.87,1312.73
诺丁汉森林 vs 利物浦,-0.75,1-1,0.0,22621.25,6848.21,6848.21,13.7%,11,0,0.0,-2304.84
西汉姆联 vs 富勒姆,-0.25,3-2,1.0,12989.83,3719.37,2370.55,4.7%,6,0,0.0,1933.87
切尔西 vs 伯恩茅斯,1.0,2-2,1.0,22621.25,6848.21,6848.21,13.7%,11,0,0.0,3538.32
